competition_ID,season,name,category,country,start_date,end_date,weapon,gender,timezone,url,unique_ID,missing_results_flag
122,2017,Reinhold-Würth-Cup,Senior,GERMANY,2017-04-28,2017-04-29,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2017/122,2017-122,
122,2019,Coupe du Monde,Senior,GERMANY,2019-05-03,2019-05-04,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2019/122,2019-122,
41,2020,Coupe du Monde,Junior,ROMANIA,2019-12-07,2019-12-07,Foil,Womens,Europe/Bucharest,https://fie.org/competitions/2020/41,2020-41,
800,2019,Championnats Panaméricains,Senior,CANADA,2019-06-27,2019-06-27,Foil,Womens,America/Toronto,https://fie.org/competitions/2019/800,2019-800,
41,2019,Coupe du Monde,Junior,BULGARIA,2018-12-08,2018-12-08,Foil,Womens,Europe/Sofia,https://fie.org/competitions/2019/41,2019-41,
397,2017,Tournoi satellite,Senior,NETHERLANDS,2016-09-25,2016-09-25,Foil,Womens,Europe/Amsterdam,https://fie.org/competitions/2017/397,2017-397,
397,2020,Tournoi satellite,Senior,NETHERLANDS,2019-09-08,2019-09-08,Foil,Womens,Europe/Amsterdam,https://fie.org/competitions/2020/397,2020-397,
812,2016,Championnats Panaméricains Juniors,Junior,MEXICO,2016-02-27,2016-03-04,Foil,Womens,America/Cancun,https://fie.org/competitions/2016/812,2016-812,
1061,2016,Championnats de qualification - Afrique,Senior,ALGERIA,2016-04-14,2016-04-14,Foil,Womens,Africa/Algiers,https://fie.org/competitions/2016/1061,2016-1061,
586,2016,Championnats d'Afrique,Senior,ALGERIA,2016-04-15,2016-04-19,Foil,Womens,Africa/Algiers,https://fie.org/competitions/2016/586,2016-586,
857,2016,Championnats d'Afrique,Junior,MALI,2016-03-04,2016-03-04,Foil,Womens,Africa/Bamako,https://fie.org/competitions/2016/857,2016-857,
1105,2018,Championnats du monde vétérans 50-59,Veterans,ITALY,2018-10-11,2018-10-11,Foil,Womens,Europe/Rome,https://fie.org/competitions/2018/1105,2018-1105,
125,2018,Coupe du Monde,Senior,MEXICO,2017-10-13,2017-10-14,Foil,Womens,America/Cancun,https://fie.org/competitions/2018/125,2018-125,
225,2019,Championnats du monde juniors-cadets,Junior,POLAND,2019-04-09,2019-04-09,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2019/225,2019-225,
740,2016,Championnats d'Europe,Senior,POLAND,2016-06-21,2016-06-21,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2016/740,2016-740,
37,2015,Memorial de Martinengo,Junior,SLOVAKIA,2014-11-21,2014-11-21,Foil,Womens,Europe/Bratislava,https://fie.org/competitions/2015/37,2015-37,
1105,2017,Championnats du monde vétérans 50-59,Veterans,SLOVENIA,2017-10-18,2017-10-18,Foil,Womens,Europe/Ljubljana,https://fie.org/competitions/2017/1105,2017-1105,
127,2015,The Artus Court PKO BP,Senior,POLAND,2015-01-16,2015-01-17,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2015/127,2015-127,
857,2020,Championnats d'Afrique juniors,Junior,GHANA,2020-02-26,2020-02-26,Foil,Womens,Africa/Porto-Novo,https://fie.org/competitions/2020/857,2020-857,
129,2017,The Artus Court PKO BP,Senior,POLAND,2017-02-03,2017-02-04,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2017/129,2017-129,
